"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","GainTotal []"
10,5,-176,0.6,88,0.194647153377394
10,5,-176,0.6,90,0.19734962637141
10,5,-176,0.6,92,0.194647153377392
10,5,-176,0.6,94,0.184120691635099
10,5,-176,0.6,96,0.161388109027275
10,5,-176,0.6,98,0.126553228464381
10,5,-176,0.6,100,0.0885558845280445
10,5,-176,0.6,102,0.061863880174053
10,5,-176,0.6,104,0.056068106319477
10,5,-176,0.6,106,0.0672629533575261
10,5,-176,0.6,108,0.0805936026183719
10,5,-176,0.6,110,0.0825337133837145
10,5,-176,0.6,112,0.0713738197479807
10,5,-176,0.6,114,0.0574620266651993
10,5,-176,0.6,116,0.0546900784236385
10,5,-176,0.6,118,0.0694057290350423
10,5,-176,0.6,120,0.0941985017048176
10,5,-176,0.6,122,0.113485570609396
10,5,-176,0.6,124,0.118004382878779
10,5,-176,0.6,126,0.113928835560714
10,5,-176,0.6,128,0.116397995772739
10,5,-176,0.6,130,0.132606463145252
10,5,-176,0.6,132,0.152374923224427
10,5,-176,0.6,134,0.160575587325176
10,5,-176,0.6,136,0.157386390822692
10,5,-176,0.6,138,0.158380756684288
10,5,-176,0.6,140,0.178435041797782
10,5,-176,0.6,142,0.217612219155509
10,5,-176,0.6,144,0.252232468343553
10,5,-176,0.6,146,0.253509560658283
10,5,-176,0.6,148,0.228277140478864
10,5,-176,0.6,150,0.213383381168661
10,5,-176,0.6,152,0.233561773613893
10,5,-176,0.6,154,0.285475355625635
10,5,-176,0.6,156,0.331086198831735
10,5,-176,0.6,158,0.323932540839728
10,5,-176,0.6,160,0.282081173352304
10,5,-176,0.6,162,0.277810122951499
10,5,-176,0.6,164,0.352297560360715
10,5,-176,0.6,166,0.486239956918149
10,5,-176,0.6,168,0.571457762597736
10,5,-176,0.6,170,0.479359023989783
10,5,-176,0.6,172,0.300153624120406
10,5,-176,0.6,174,0.254558849468829
10,5,-176,0.6,176,0.332649755906985
10,5,-176,0.6,178,0.383602771600245
10,5,-176,0.6,180,0.396410183031529
10,7,-176,0.6,0,0.230763556206449
10,7,-176,0.6,2,0.367977605417964
10,7,-176,0.6,4,0.390041472172843
10,7,-176,0.6,6,0.385811983403976
10,7,-176,0.6,8,0.522550583560543
10,7,-176,0.6,10,0.467281428313525
10,7,-176,0.6,12,0.419679026884887
10,7,-176,0.6,14,0.377954477292512
10,7,-176,0.6,16,0.363625341535021
10,7,-176,0.6,18,0.325602848733527
