"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","DirTotal []"
10,10,90,0.6,106,0.442512725380496
10,10,90,0.6,108,0.0989845637072813
10,10,90,0.6,110,0.484198418216627
10,10,90,0.6,112,0.146725667262692
10,10,90,0.6,114,0.130780518166448
10,10,90,0.6,116,0.333087253502474
10,10,90,0.6,118,0.14777327740608
10,10,90,0.6,120,0.196107653463483
10,10,90,0.6,122,0.235612154765042
10,10,90,0.6,124,0.137477206474112
10,10,90,0.6,126,0.236711869390799
10,10,90,0.6,128,0.184772575136826
10,10,90,0.6,130,0.155151436381088
10,10,90,0.6,132,0.337098475747507
10,10,90,0.6,134,0.188515968101999
10,10,90,0.6,136,0.114895116940237
10,10,90,0.6,138,0.366768950767231
10,10,90,0.6,140,0.254649250758904
10,10,90,0.6,142,0.149252596989088
10,10,90,0.6,144,0.296026382277778
10,10,90,0.6,146,0.233157866062006
10,10,90,0.6,148,0.290135174142926
10,10,90,0.6,150,0.361143093316873
10,10,90,0.6,152,0.206627327038207
10,10,90,0.6,154,0.338926039801313
10,10,90,0.6,156,0.447001267492189
10,10,90,0.6,158,0.342812308967372
10,10,90,0.6,160,0.384188504045974
10,10,90,0.6,162,0.33285988709809
10,10,90,0.6,164,0.504878255967597
10,10,90,0.6,166,0.741007984494427
10,10,90,0.6,168,0.327237780480557
10,10,90,0.6,170,0.415393338233681
10,10,90,0.6,172,0.941535096668937
10,10,90,0.6,174,0.430240101609983
10,10,90,0.6,176,0.406023920452478
10,10,90,0.6,178,1.29490491296927
10,10,90,0.6,180,0.885613767282108
