"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(DirTotal) []"
10,5,90,0.6,50.9,-5.17475852265336
10,5,90,0.6,51,-5.21946706204645
10,5,90,0.6,51.1,-5.26830792729135
10,5,90,0.6,51.2,-5.32129767047063
10,5,90,0.6,51.3,-5.37844758652564
10,5,90,0.6,51.4,-5.4397631050167
10,5,90,0.6,51.5,-5.50524307598483
10,5,90,0.6,51.6,-5.57487893867629
10,5,90,0.6,51.7,-5.64865376076776
10,5,90,0.6,51.8,-5.72654113462817
10,5,90,0.6,51.9,-5.80850391612437
10,5,90,0.6,52,-5.89449279060237
10,5,90,0.6,52.1,-5.98444465004535
10,5,90,0.6,52.2,-6.07828076516856
10,5,90,0.6,52.3,-6.17590473653009
10,5,90,0.6,52.4,-6.2772002098473
10,5,90,0.6,52.5,-6.38202834289565
10,5,90,0.6,52.6,-6.49022501499148
10,5,90,0.6,52.7,-6.60159777556423
10,5,90,0.6,52.8,-6.71592253621236
10,5,90,0.6,52.9,-6.83294002153743
10,5,90,0.6,53,-6.95235200860227
10,5,90,0.6,53.1,-7.07381740378259
10,5,90,0.6,53.2,-7.19694822976056
10,5,90,0.6,53.3,-7.32130562499283
10,5,90,0.6,53.4,-7.44639599351067
10,5,90,0.6,53.5,-7.57166748423255
10,5,90,0.6,53.6,-7.69650702526429
10,5,90,0.6,53.7,-7.82023818809575
10,5,90,0.6,53.8,-7.94212020599793
10,5,90,0.6,53.9,-8.06134851542674
10,5,90,0.6,54,-8.17705722210109
10,5,90,0.6,54.1,-8.28832390599344
10,5,90,0.6,54.2,-8.39417716154514
10,5,90,0.6,54.3,-8.49360721018807
10,5,90,0.6,54.4,-8.58557981187531
10,5,90,0.6,54.5,-8.66905353421159
10,5,90,0.6,54.6,-8.74300021147964
10,5,90,0.6,54.7,-8.80642814989473
10,5,90,0.6,54.8,-8.85840732950605
10,5,90,0.6,54.9,-8.89809554869529
10,5,90,0.6,55,-8.92476419509339
10,5,90,0.6,55.1,-8.93782215210014
10,5,90,0.6,55.2,-8.93683630423942
10,5,90,0.6,55.3,-8.92154721509307
10,5,90,0.6,55.4,-8.89187882435333
10,5,90,0.6,55.5,-8.84794142473026
10,5,90,0.6,55.6,-8.79002768853289
10,5,90,0.6,55.7,-8.71860205301276
10,5,90,0.6,55.8,-8.63428427238066
10,5,90,0.6,55.9,-8.53782834007198
10,5,90,0.6,56,-8.43009823430997
10,5,90,0.6,56.1,-8.31204202643877
10,5,90,0.6,56.2,-8.18466582435517
10,5,90,0.6,56.3,-8.04900883301301
10,5,90,0.6,56.4,-7.90612054277498
10,5,90,0.6,56.5,-7.75704074932039
10,5,90,0.6,56.6,-7.60278280562267
10,5,90,0.6,56.7,-7.44432023694625
10,5,90,0.6,56.8,-7.28257663182127
10,5,90,0.6,56.9,-7.11841856259695
10,5,90,0.6,57,-6.95265118687981
10,5,90,0.6,57.1,-6.78601612870995
10,5,90,0.6,57.2,-6.61919122560448
10,5,90,0.6,57.3,-6.45279174377959
10,5,90,0.6,57.4,-6.28737269896593
