"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,10,-178,0.6,110,-14.7673785975409
10,10,-178,0.6,112,-16.3671151414921
10,10,-178,0.6,114,-18.1064971757449
10,10,-178,0.6,116,-13.5208733828148
10,10,-178,0.6,118,-13.4601164230868
10,10,-178,0.6,120,-14.6627918131118
10,10,-178,0.6,122,-12.2541643319841
10,10,-178,0.6,124,-10.2757365472832
10,10,-178,0.6,126,-9.80759343106925
10,10,-178,0.6,128,-8.053511604296
10,10,-178,0.6,130,-8.75078440451631
10,10,-178,0.6,132,-10.3643769976892
10,10,-178,0.6,134,-8.5974869954545
10,10,-178,0.6,136,-7.54169850308624
10,10,-178,0.6,138,-9.01590251439729
10,10,-178,0.6,140,-9.06976074164521
10,10,-178,0.6,142,-8.225809694836
10,10,-178,0.6,144,-7.72478727417246
10,10,-178,0.6,146,-7.27598918640743
10,10,-178,0.6,148,-8.12923411915602
10,10,-178,0.6,150,-7.67264910650985
10,10,-178,0.6,152,-5.91777948988986
10,10,-178,0.6,154,-6.48769607865841
10,10,-178,0.6,156,-6.44575193129492
10,10,-178,0.6,158,-5.85595491515134
10,10,-178,0.6,160,-6.06357591009573
10,10,-178,0.6,162,-4.20074618101991
10,10,-178,0.6,164,-4.79732698361456
10,10,-178,0.6,166,-4.96884502112281
10,10,-178,0.6,168,-2.48102795781643
10,10,-178,0.6,170,-4.37705644801013
10,10,-178,0.6,172,-4.36231771716772
10,10,-178,0.6,174,-1.19736667443127
10,10,-178,0.6,176,-2.32867396315772
10,10,-178,0.6,178,-1.63844771630001
10,10,-178,0.6,180,-0.453941085843255
10,5,-176,0.6,0,-4.01855197835602
10,5,-176,0.6,2,-4.16118263632907
10,5,-176,0.6,4,-4.78012790896087
10,5,-176,0.6,6,-5.94211800576454
10,5,-176,0.6,8,-5.22656408510033
10,5,-176,0.6,10,-3.19339092571243
10,5,-176,0.6,12,-2.43015863516494
10,5,-176,0.6,14,-3.13149355743507
10,5,-176,0.6,16,-4.53090364271347
10,5,-176,0.6,18,-5.56251933321664
10,5,-176,0.6,20,-5.4962589853819
