"Freq [GHz]","n_d1 []","Phi [deg]","rel_d2_d1 []","Theta [deg]","dB(GainTotal) []"
10,5,90,0.6,41.4,-4.70369798448304
10,5,90,0.6,41.5,-4.7519586494958
10,5,90,0.6,41.6,-4.80245728152127
10,5,90,0.6,41.7,-4.85508974492586
10,5,90,0.6,41.8,-4.90974365152132
10,5,90,0.6,41.9,-4.96629792798094
10,5,90,0.6,42,-5.02462239075775
10,5,90,0.6,42.1,-5.08457733659444
10,5,90,0.6,42.2,-5.14601315805693
10,5,90,0.6,42.3,-5.2087699949623
10,5,90,0.6,42.4,-5.27267743407458
10,5,90,0.6,42.5,-5.3375542709812
10,5,90,0.6,42.6,-5.4032083495756
10,5,90,0.6,42.7,-5.46943649600973
10,5,90,0.6,42.8,-5.53602456524481
10,5,90,0.6,42.9,-5.60274761933817
10,5,90,0.6,43,-5.66937025723159
10,5,90,0.6,43.1,-5.73564711593519
10,5,90,0.6,43.2,-5.80132356248132
10,5,90,0.6,43.3,-5.86613659472009
10,5,90,0.6,43.4,-5.92981596679954
10,5,90,0.6,43.5,-5.99208555189073
10,5,90,0.6,43.6,-6.05266495029693
10,5,90,0.6,43.7,-6.11127134546308
10,5,90,0.6,43.8,-6.16762160359915
10,5,90,0.6,43.9,-6.22143460472844
10,5,90,0.6,44,-6.27243378415913
10,5,90,0.6,44.1,-6.32034985392847
10,5,90,0.6,44.2,-6.36492366407129
10,5,90,0.6,44.3,-6.40590915409445
10,5,90,0.6,44.4,-6.44307633635595
10,5,90,0.6,44.5,-6.47621424573912
10,5,90,0.6,44.6,-6.5051337846872
10,5,90,0.6,44.7,-6.52967038986701
10,5,90,0.6,44.8,-6.5496864469054
10,5,90,0.6,44.9,-6.56507338307597
10,5,90,0.6,45,-6.57575337459489
10,5,90,0.6,45.1,-6.58168061515918
10,5,90,0.6,45.2,-6.58284210514976
10,5,90,0.6,45.3,-6.57925793591998
10,5,90,0.6,45.4,-6.57098106000444
10,5,90,0.6,45.5,-6.5580965550145
10,5,90,0.6,45.6,-6.54072040548414
10,5,90,0.6,45.7,-6.51899784207604
10,5,90,0.6,45.8,-6.49310129055834
10,5,90,0.6,45.9,-6.46322799319687
10,5,90,0.6,46,-6.42959737225774
10,5,90,0.6,46.1,-6.39244820903881
10,5,90,0.6,46.2,-6.35203571228176
10,5,90,0.6,46.3,-6.30862854726008
10,5,90,0.6,46.4,-6.26250589169804
10,5,90,0.6,46.5,-6.21395457751977
10,5,90,0.6,46.6,-6.1632663688272
10,5,90,0.6,46.7,-6.11073541708535
10,5,90,0.6,46.8,-6.05665592478971
10,5,90,0.6,46.9,-6.00132003940668
10,5,90,0.6,47,-5.94501599049355
10,5,90,0.6,47.1,-5.88802647491937
10,5,90,0.6,47.2,-5.83062728820325
10,5,90,0.6,47.3,-5.7730861942607
10,5,90,0.6,47.4,-5.71566202132555
10,5,90,0.6,47.5,-5.6586039684334
10,5,90,0.6,47.6,-5.60215110453756
10,5,90,0.6,47.7,-5.54653204094548
10,5,90,0.6,47.8,-5.49196475717854
10,5,90,0.6,47.9,-5.43865656042931
10,5,90,0.6,48,-5.38680415937343
10,5,90,0.6,48.1,-5.3365938340618
10,5,90,0.6,48.2,-5.28820168485938
10,5,90,0.6,48.3,-5.24179394480257
10,5,90,0.6,48.4,-5.19752734124699
10,5,90,0.6,48.5,-5.15554949419246
10,5,90,0.6,48.6,-5.11599934015884
10,5,90,0.6,48.7,-5.07900757190721
10,5,90,0.6,48.8,-5.04469708562089
10,5,90,0.6,48.9,-5.0131834283682
10,5,90,0.6,49,-4.9845752397575
10,5,90,0.6,49.1,-4.95897468264799
10,5,90,0.6,49.2,-4.93647785861012
10,5,90,0.6,49.3,-4.91717520453347
10,5,90,0.6,49.4,-4.90115186736408
10,5,90,0.6,49.5,-4.88848805442465
10,5,90,0.6,49.6,-4.8792593571378
10,5,90,0.6,49.7,-4.87353704623821
10,5,90,0.6,49.8,-4.87138833673711
10,5,90,0.6,49.9,-4.87287662098916
10,5,90,0.6,50,-4.87806166822348
10,5,90,0.6,50.1,-4.88699978883403
10,5,90,0.6,50.2,-4.89974396158091
10,5,90,0.6,50.3,-4.91634392165149
10,5,90,0.6,50.4,-4.93684620724346
10,5,90,0.6,50.5,-4.96129416199248
10,5,90,0.6,50.6,-4.9897278901446
10,5,90,0.6,50.7,-5.02218416088989
10,5,90,0.6,50.8,-5.05869625771626
10,5,90,0.6,50.9,-5.09929376800673
10,5,90,0.6,51,-5.14400230739983
10,5,90,0.6,51.1,-5.19284317264473
10,5,90,0.6,51.2,-5.24583291582401
10,5,90,0.6,51.3,-5.30298283187902
10,5,90,0.6,51.4,-5.36429835037007
10,5,90,0.6,51.5,-5.4297783213382
10,5,90,0.6,51.6,-5.49941418402967
10,5,90,0.6,51.7,-5.57318900612114
10,5,90,0.6,51.8,-5.65107637998155
10,5,90,0.6,51.9,-5.73303916147775
10,5,90,0.6,52,-5.81902803595574
10,5,90,0.6,52.1,-5.90897989539872
10,5,90,0.6,52.2,-6.00281601052194
10,5,90,0.6,52.3,-6.10043998188347
10,5,90,0.6,52.4,-6.20173545520068
10,5,90,0.6,52.5,-6.30656358824902
10,5,90,0.6,52.6,-6.41476026034486
10,5,90,0.6,52.7,-6.52613302091761
